Vendor,Hex value,To hex
Canon,75636d50,
Canon,75636d54,
Canon,75636d56,
Apple Computer,76636774,
ICC,76696577,
Apple Computer,76707461,
Apple Computer,76707462,
Apple Computer,76707467,
Apple Computer,76707470,
Apple Computer,76707477,
ICC,76756564,
ICC,77747074,
